,core_id,title,authors
0,11083759,Середовище проведення освітніх вебінарів «WIP education»,"[['Юрій ', 'Богачков']]"
1,11083794,Комплексна підготовка дистанційних матеріалів (відповіді на запитання),[]
2,11083797,,[]
3,11083801,,[]
4,11083807,Інструментальні засоби профорієнтації,[]
5,11083814,"ЕКСПЕРИМЕНТ «Дистанційне навчання школярів"": перші підсумки","[['Богачков ', 'Юрій']]"
6,11083816,Організація підготовки тьюторів для дистанційного навчання у ЗНЗ,"[['Інститут ', 'Інформаційних Технологій І Засобів Навчання Апн'], ['України ', 'Богачков'], ['Юрій ', 'Миколайович'], [' Т.', '']]"
7,11083818,ЄДИНИЙ ОСВІТНІЙ ПРОСТІР : ПРАКТИЧНІ АСПЕКТИ ФОРМУВАННЯ,"[['І. Г.', 'Малюкова'], ['Ю. М.', 'Богачков'], ['В. М.', 'Радченко']]"
8,11083820,ДОСВІД ПІДГОТОВКИ ТЬЮТОРІВ ДИСТАНЦІЙНОГО НАВЧАННЯ ДЛЯ ЗАГАЛЬНООСВІТНІХ НАВЧАЛЬНИХ ЗАКЛАДІВ Інститут інформаційних технологій і засобів навчання АПН України,"[['Богачков ', 'Юрій'], ['Якубов ', 'Сергій В&apos;ячеславович']]"
9,11083824,Додаток 1 Проект,[]
10,11083826,Додаток 2 Проект,[]
11,11083841,Діагностика стану навчального процесу,[]
12,11083843,Підвищення діагностичних властивостей тесту методом розщеплення при інтерпретації тестових завдань,"[['Інститут ', 'Інформаційних'], ['Апн ', 'України'], ['Богачков ', 'Юрій'], ['Миколайович ', 'Ухань'], ['Павло ', 'Станіславович']]"
13,11084043,,[]
14,11084183,,[]
15,11084185,"Дементієвська Ніна Петрівна, науковий співробітник відділу лабораторних комплексів засобів навчання Інституту інформаційних технологій і засобів навчання НАПН України",[]
16,11084194,Застосування мультимедійних систем як засобів інтерактивного навчання,[]
17,11084196,Соціальні сервіси Веб 2.0 як засіб інтерактивного навчання,[]
18,11084226,,[]
19,11084228,,[]
20,11084232,ОСОБИСТІСНІ ЯКОСТІ УЧНІВ ОСНОВНОЇ ШКОЛИ ТА ОСОБЛИВОСТІ ДОПРОФІЛЬНОГО НАВЧАННЯ ПРЕДМЕТІВ ПРИРОДНИЧОГО ЦИКЛУ,"[['Бісіркін П М', '']]"
21,11084286,,[]
22,11084289,,[]
23,11084295,,[]
24,11084316,НАЦІОНАЛЬНА АКАДЕМІЯ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ ІНСТИТУТ ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ І ЗАСОБІВ НАВЧАННЯ ВИКОРИСТАННЯ ІНФОРМАЦІЙНО-КОМУНІКАЦІЙНИХ ТЕХНОЛОГІЙ УПРАВЛІННЯ ЯКІСТЮ ОСВІТИ В ЗАГАЛЬНООСВІТНІХ НАВЧАЛЬНИХ ЗАКЛАДАХ,[]
25,11084319,НАЦІОНАЛЬНА АКАДЕМІЯ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ ІНСТИТУТ ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ І ЗАСОБІВ НАВЧАННЯ КРУПСЬКИЙ ЯРОСЛАВ ВОЛОДИМИРОВИЧ,[]
26,11084334,,[]
27,11084345,Національна академія педагогічних наук України,[]
28,11084347,Національна академія педагогічних наук України,[]
29,11084381,Національна академія педагогічних наук України,[]
30,11084384,Національна академія педагогічних наук України,[]
31,11084386,Національна академія педагогічних наук України,[]
32,11084388,Національна академія педагогічних наук України,[]
33,11084432,,[]
34,11084455,,[]
35,11084459,Національна академія педагогічних наук України,[]
36,11084461,Національна академія педагогічних наук України,[]
